Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,4.537878897,5.318555997,6.357033676,7.306308855,6.639898278
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97,99.6,99.6,98.4,93.9,99.5,99.6,98.8,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.34225013,4.209111895,4.301913806,4.201815869,4.070111687,3.975650744,3.742029812,3.40561754,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,72.4,..,..,..,..,..,..,70.1,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,33.18739157,34.43213957,40.42762794,37.93224826,38.86839839,..,..,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2967.376558,3074.702071,..,..,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1967.021678,2029.922825,..,..,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.60541444,17.99658794,16.29956168
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.50225E+11,1.53794E+11,1.77185E+11,1.81639E+11,2.25925E+11,2.77827E+11,2.80685E+11,2.55558E+11,2.46307E+11,2.47681E+11
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.322,2.312,2.301,2.241,2.168,2.039,1.994,1.911,1.885,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819,6649187838,4884127676,6902840208,15408346794
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,295438,293204,290970,290100,288990,287910,286810,285730,284636.667,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.87903E+11,6.31133E+11
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.71800993,4.95636996
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12870,12350,12600,12220,13140,12430,11220,9010,9980,11590
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19700,19280,19730,19860,22990,22460,22100,20240,23350,26030
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,5.43284E+11,5.26785E+11,5.4328E+11,5.32504E+11,5.78798E+11,5.53193E+11,5.04056E+11,4.08629E+11,4.57385E+11,5.35914E+11
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8.31394E+11,8.22682E+11,8.50943E+11,8.65729E+11,1.0128E+12,9.99478E+11,9.93329E+11,9.18298E+11,1.06981E+12,1.20333E+12
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.3057789,17.26288101,17.07070488,17.66322786,18.21256717,16.61388502,14.2100304,14.41515574,18.05734002,17.62504501
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,7.458077939,7.061130378,9.225691782,8.982391303,9.205419254,5.40298411,5.212790589,6.903889256,4.422891393,4.751575236
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,95,89,90,89,94,86,77,86,83
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.70573667,13.59828437,14.93343631,15.3509523
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,5,5.1,..,4.9,5.1,5,4.7,4.8,5.1,..
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.40887637,23.9172428,24.16370489
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,42.03366896,49.19557906,40.0830878,53.8404499,69.47123955
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,..
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,27.24604172,25.48641191,19.67030526,20.40455697,19.51141393,24.24889031,25.51397097,25.20813808,28.92380734,26.93044041
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.732300348,0.699696134,0.734492612,0.630928835,0.411211299
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,158.9154655,142.9902363,142.9639551,145.9179567,140.5014607,131.9371685,125.9409814,121.6001889,130.4550081,132.3578095
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,12.7,12.2,11.6,11,10.3,9.5,8.6,7.7,6.9,..
Argentina,ARG,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,106.9382505,104.7441528,100,106.0819486,103.0075884,104.2424656,103.3360442,103.9751809,113.8988462,..
Argentina,ARG,Net migration,SM.POP.NETM,5369,5801,5522,5215,4926,4690,4478,2344,2344,..
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,34729999.54,48790000.92,-18870000.84,2619999.886,-1169999.957,73220001.22,8890000.343,101699996.9,153529998.8,..
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503,561398444.7,648090050,901123183,1267449071
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261,16.73874169,..
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991,0.947490959,0.925835474
Argentina,ARG,"Population, total",SP.POP.TOTL,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.6,0.6,..,0.7,0.4,0.8,0.8,1.1,1,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,30.3,25.7,32,35.5,42,37.3,39.2
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,..
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,2,..,..,..,..
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.3749313,105.392601,106.0531311,106.5444489,101.58181,100.2818069,100.3828964,103.8377914,105.4795303,..
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,21.56528296,22.33229437,22.1490803,21.25670131,19.33712397,17.70244839,18.73629958,17.47870219,18.02690862,..
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,114.5092392,113.9618835,113.7781982,112.9442673,111.6814575,111.5456085,111.3653183,110.6178131,110.1561127,..
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.03136003,1.031229973,1.028380036,1.020810008,1.019629955,1.021319985,1.020560026,1.024260044,..,..
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,104.5967484,106.0921326,107.5490723,109.6459427,110.4124069,109.6969986,110.4985275,112.4166794,116.5594482,..
Argentina,ARG,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,76.66666667,83.33333333,95.55556667,88.8889,85.55556667,81.1111,80,78.8889,..,..
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,2780400,..
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.45290276,12.61096661,12.33650694,12.09728364,10.93962386,9.992390084,10.59439751,10.86589638,11.46851828,..
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,7.528593349,7.40512875,7.40512875,9.393165071,9.397976297,9.397976297,9.552645644
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,24.5,24.5,24.5,24.5,24.5,11,11.5,..,..,..
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,17.13745621,20.16972536,24.73364286,34.92833982,51.73025476,51.54858455,50.83309764,43.09763198,28.80766584,31.79922924
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.25948243,1.239638679,1.215797063,1.192602919,1.170195959,1.147602159,1.125019726,1.100415053,1.075515039,1.053695664
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,15.059,13.249,12.322,10.968,10.43,9.983,8.938,8.081,8.096,..
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.285285002,2.220360756,2.375282585,2.404251882,2.70396697,2.457105558,2.113082693,2.009273415,2.300252621,2.675528808
Australia,AUS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,3.891869919,3.752642276,1.87398374,2.159146341,2.450943368,2.506097561,2.140243902,1.756097561,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99,99.8,98.8,98.8,99.4,98.7,98.8,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,16.7945881,16.15574514,16.19845822,16.32033061,16.1491503,15.86571352,15.59904536,14.77613691,..,..
Australia,AUS,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,66.9,..,..,..,..,..,..
Australia,AUS,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10220.8873,10071.39898,..,..,..,..,..,..,..,..
